name,score,beer style,abv,cal,city,country,link
Alpha Sant Corneli,2.92,India Pale Ale (IPA),6.4,192.0,La Cortinada Ordino,Andorra,/beer/alpha-sant-corneli/222280/
Alpha Els Amants del Roc,2.89,Porter,7.5,225.0,La Cortinada Ordino,Andorra,/beer/alpha-els-amants-del-roc/432481/
Alpha  Fums,2.89,Smoked,7.5,225.0,La Cortinada Ordino,Andorra,/beer/alpha-fums/236915/
Boris Craft Beer Andorra Golden Ale,2.83,Golden Ale/Blond Ale,4.5,135.0,,Andorra,/beer/boris-craft-beer-andorra-golden-ale/434352/
Alpha El Testament Del Llop,2.83,Smoked,6.2,186.0,La Cortinada Ordino,Andorra,/beer/alpha-el-testament-del-llop/481027/
Alpha Roure (Especial Lager),2.82,Imperial Pils/Strong Pale Lager,7.9,237.0,La Cortinada Ordino,Andorra,/beer/alpha-roure-especial-lager/179235/
La Birreria Trapella Doggy Queen,2.76,Kölsch,5,150.0,Andorra La Vella,Andorra,/beer/la-birreria-trapella-doggy-queen/553019/
Alpha Roure Pale Ale,2.71,English Pale Ale,4.6,138.0,La Cortinada Ordino,Andorra,/beer/alpha-roure-pale-ale/194852/
Alpha Andorbock Fumat,2.71,Smoked,9.1,273.0,La Cortinada Ordino,Andorra,/beer/alpha-andorbock-fumat/196132/
Cerveses Alpha La Dama Blanca,2.68,Golden Ale/Blond Ale,5.1,153.0,La Cortinada Ordino,Andorra,/beer/cerveses-alpha-la-dama-blanca/481032/
Boris Craft Beer White Ale,2.68,Witbier,4,120.0,,Andorra,/beer/boris-craft-beer-white-ale/495600/
La Birreria Trapella Scrum,2.67,Witbier,5,150.0,Andorra La Vella,Andorra,/beer/la-birreria-trapella-scrum/555633/
Alpha Full Fusion,2.65,Spice/Herb/Vegetable,5.1,153.0,La Cortinada Ordino,Andorra,/beer/alpha-full-fusion/276147/
Alpha La Farga,2.63,Bitter,4.8,144.0,La Cortinada Ordino,Andorra,/beer/alpha-la-farga/194851/
Alpha Monjo Boig,2.56,German Hefeweizen,4.5,135.0,La Cortinada Ordino,Andorra,/beer/alpha-monjo-boig/168447/
La Birreria Trapella Ginger Beard,2.55,Spice/Herb/Vegetable,6.5,195.0,Andorra La Vella,Andorra,/beer/la-birreria-trapella-ginger-beard/553044/
Cerveses Alpha,2.5,Amber Ale,7.9,237.0,La Cortinada Ordino,Andorra,/beer/alpha-torrada/164176/
Cerveses Alpha,2.45,Smoked,5.8,174.0,La Cortinada Ordino,Andorra,/beer/alpha-smoked-red-ale/177830/
Alpha Crepuscle,2.43,Stout,7.5,225.0,La Cortinada Ordino,Andorra,/beer/alpha-crepuscle/177235/
Alpha Eagle,2.3,Golden Ale/Blond Ale,5.1,153.0,La Cortinada Ordino,Andorra,/beer/alpha-eagle/222282/
Alpha El Barranc Dels Dimonis,2.29,Spice/Herb/Vegetable,5.1,153.0,La Cortinada Ordino,Andorra,/beer/alpha-el-barranc-dels-dimonis/553040/
Cerveses Alpha,2.26,Pilsener,5.1,153.0,La Cortinada Ordino,Andorra,/beer/alpha-tipus-pilsener/154459/
N´gola Cerveja Superior,2.70,Pale Lager,5,150.0,Luanda,Angola,/beer/ngola-cerveja-superior/148374/
Nocal Cerveja Internacional,2.14,Pale Lager,5,150.0,Luanda,Angola,/beer/nocal-cerveja-internacional/14078/
Eka,1.94,Pilsener,5,150.0,Dondo Provincia do Kwanza Norte,Angola,/beer/eka/70816/
Nova Cuca,1.82,Pale Lager,4.5,135.0,Luanda,Angola,/beer/nova-cuca/59433/
Cerveja Tchizo,n/a,Pale Lager,5.5,165.0,Cabinda,Angola,/beer/cerveja-tchizo/200390/
Bela Beer,n/a,Pale Lager,-,,Luanda,Angola,/beer/bela-beer/410770/
Refriango Cerveja Tigra,n/a,Pale Lager,5,150.0,Luanda,Angola,/beer/refriango-cerveja-tigra/410771/
2SIX8 Goat Farm Pale Ale,3.17,American Pale Ale,5.2,156.0,English Harbour Town Saint Paul,Antigua & Barbuda,/beer/2six8-goat-farm-pale-ale/547267/
Antigua Brewery (Royal Unibrew),2.13,Pale Lager,5,150.0,St. Johns,Antigua & Barbuda,/beer/wadadli/7979/
Antigua Brewery (Royal Unibrew),2.07,Premium Lager,5.6,168.0,St. Johns,Antigua & Barbuda,/beer/wadadli-gold/103599/
Juguetes Perdidos Baltic Porter Cognac Barrel Aged,3.52,Baltic Porter,11.2,336.0,Buenos Aires,Argentina,/beer/juguetes-perdidos-baltic-porter-cognac-barrel-aged/521949/
Araucana Rojiza Fuerte,3.45,Doppelbock,9.2,276.0,El Bolson,Argentina,/beer/araucana-rojiza-fuerte/82421/
