beer,link,score,style,abv,cal,loc,country
Erebuni 14,/beer/erebuni-14/278979/,2.63,Pale Lager,4.8,144,['Abovian'],Armenia
Kilikia 0,/beer/kilikia-0/341080/,2.6,Low Alcohol,0.5,15,['Yerevan'],Armenia
12.06 Premium Beer,/beer/1206-premium-beer/436491/,2.58,Pale Lager,4.8,144,['Yerevan'],Armenia
Kellers (Armenia) Gold Filtered,/beer/kellers-armenia-gold-filtered/264007/,2.58,Pale Lager,4.4,132,"['Sevan', ' Gegharkunik Marz']",Armenia
Hayer,/beer/hayer/137468/,2.51,Pilsener,4.9,147,['Yerevan'],Armenia
Gyumri Lager (Rigayi),/beer/gyumri-lager-rigayi/75040/,2.48,Pale Lager,4.5,135,['Gyumri'],Armenia
Kilikia 11,/beer/kilikia-11/183278/,2.4,Pale Lager,4.6,138,['Yerevan'],Armenia
Kilikia 1952,/beer/kilikia-1952/334593/,2.37,Pale Lager,4.8,144,['Yerevan'],Armenia
Kotayk Cani,/beer/kotayk-cani/80794/,2.35,Pale Lager,5.2,156,['Abovian'],Armenia
Yerevan Premium Beer,/beer/yerevan-premium-beer/339447/,2.34,Pale Lager,4.8,144,['Yerevan'],Armenia
Erebuni,/beer/erebuni/19539/,2.34,Imperial Pils/Strong Pale Lager,6.4,192,['Abovian'],Armenia
Kilikia Celebratory,/beer/kilikia-celebratory/41301/,2.32,Pale Lager,5.3,159,['Yerevan'],Armenia
Kotayk Moskovyan,/beer/kotayk-moskovyan/49657/,2.29,Pale Lager,4.2,126,['Abovian'],Armenia
Kilikia Youth ,/beer/kilikia-youth/41302/,2.26,Pale Lager,4.8,144,['Yerevan'],Armenia
Kilikia Elitar ,/beer/kilikia-elitar/41303/,2.25,Pale Lager,5.6,168,['Yerevan'],Armenia
Hayasy Beer Classic,/beer/hayasy-beer-classic/184472/,2.25,Premium Lager,4.5,135,['Voskevaz'],Armenia
Kilikia Light,/beer/kilikia-light/279055/,2.24,Pale Lager,4.5,135,['Yerevan'],Armenia
Aleksandrapol Premium Beer,/beer/aleksandrapol-premium-beer/143008/,2.19,Pale Lager,4.5,135,['Gyumri'],Armenia
Kotayk Lager,/beer/kotayk-lager/13523/,2.18,Pale Lager,5.2,156,['Abovian'],Armenia
Kilikia,/beer/kilikia/14615/,2.1,Pale Lager,4.8,144,['Yerevan'],Armenia
Ararat Beer,/beer/ararat-beer/281400/,2.1,Pale Lager,4.5,135,['Gyumri'],Armenia
Gyumri Classic (Zhigvolyevyan),/beer/gyumri-classic-zhigvolyevyan/80795/,2.07,Pale Lager,4,120,['Gyumri'],Armenia
