,Unnamed: 0,name,score,beer style,abv,cal,city,country,link,lat,lon
162,162,Beagle Fuegian Stout (Negra),3.11,Stout,7.8,234.0,Ushuaia,Argentina,/beer/beagle-fuegian-stout-negra/44267/,-54.8069332,-68.30732459999999
163,163,Keusters Dubbel,3.11,Abbey Dubbel,7.0,210.0,Buenos Aires,Argentina,/beer/keusters-dubbel/374374/,-34.6452384,-58.3930969
165,165,Dargett Coney Island,3.2,American Pale Ale,5.5,165.0,0002 Yerevan,Armenia,/beer/dargett-coney-island/551631/,40.177612100000005,44.5125849
166,166,Dargett The Catcher In The Wheat,3.17,Wheat Ale,4.6,138.0,0002 Yerevan,Armenia,/beer/dargett-the-catcher-in-the-wheat/567116/,40.177612100000005,44.5125849
167,167,Academia Weizen,3.13,German Hefeweizen,4.8,144.0,Yerevan,Armenia,/beer/academia-weizen/417634/,40.177612100000005,44.5125849
169,169,Academia Pils,3.09,Pilsener,4.6,138.0,Yerevan,Armenia,/beer/academia-pils/417571/,40.177612100000005,44.5125849
170,170,Academia Bitter,3.03,English Pale Ale,4.8,144.0,Yerevan,Armenia,/beer/academia-bitter/417635/,40.177612100000005,44.5125849
173,173,Academia Dunkel,2.93,Dunkel/Tmavý,4.8,144.0,Yerevan,Armenia,/beer/academia-dunkel/417636/,40.177612100000005,44.5125849
179,179,Ginevan Platinum,2.87,Pilsener,5.1,153.0,Yerevan,Armenia,/beer/ginevan-platinum/341484/,40.177612100000005,44.5125849
182,182,Kilikia Dymchatoe Temnoe,2.84,Smoked,4.4,132.0,Yerevan,Armenia,/beer/kilikia-dymchatoe-temnoe/224588/,40.177612100000005,44.5125849
183,183,Ginevan Gold,2.83,Pale Lager,5.3,159.0,Yerevan,Armenia,/beer/ginevan-gold/350505/,40.177612100000005,44.5125849
184,184,Shirak Gyumri Beer-Malt Factory CJSC,2.81,Amber Lager/Vienna,4.0,120.0,Gyumri,Armenia,/beer/gyumri-shirak/75039/,40.7890793,43.8412211
185,185,Dargett Armenia Invicta,2.81,Imperial IPA,8.5,255.0,0002 Yerevan,Armenia,/beer/dargett-armenia-invicta/554212/,40.177612100000005,44.5125849
186,186,Dargett Belle de Jour,2.79,Golden Ale/Blond Ale,5.0,150.0,0002 Yerevan,Armenia,/beer/dargett-belle-de-jour/566332/,40.177612100000005,44.5125849
187,187,Kilikia Dymchatoe Svetloe,2.79,Smoked,4.8,144.0,Yerevan,Armenia,/beer/kilikia-dymchatoe-svetloe/224587/,40.177612100000005,44.5125849
188,188,Abovian Brewery,2.73,Dunkel/Tmavý,6.2,186.0,Abovian,Armenia,/beer/kotayk-dark/30499/,40.2723102,44.6241011
189,189,Městské Pivo,2.66,Czech Pilsner (Světlý),4.8,144.0,Yerevan,Armenia,/beer/m283stske-pivo/339453/,40.177612100000005,44.5125849
190,190,Kilikia Dark,2.66,Oktoberfest/Märzen,4.4,132.0,Yerevan,Armenia,/beer/kilikia-dark/13527/,40.177612100000005,44.5125849
191,191,Erebuni 14,2.63,Pale Lager,4.8,144.0,Abovian,Armenia,/beer/erebuni-14/278979/,40.2723102,44.6241011
192,192,Kilikia 0,2.6,Low Alcohol,0.5,15.0,Yerevan,Armenia,/beer/kilikia-0/341080/,40.177612100000005,44.5125849
